"test_id","status","test_group","query","expected_dataset_id","expected_context_layer","expected_dataset_parameters","expected_nudge_type","expected_nudge_options","expected_text","expected_forbidden_tools","difficulty","behaviour","lineage","verified"
"ch-map-011","ready","land-cover","lulc map","1","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","jargon: land use / land cover","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-012","ready","land-cover","show landcovr change","1","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","typo","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-013","ready","land-cover","map of what covers the land","1","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","indirect","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-014","ready","grasslands","Show natural grasslands on the map","2","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-015","ready","grasslands","Display grassland extent on the map","2","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-016","ready","grasslands","Show me natural and semi-natural grasslands on the map","2","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-017","ready","grasslands","Put natural grassland on the map","2","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-018","ready","grasslands","Map savannas, shrublands and natural grasslands","2","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-019","ready","grasslands","Show where natural grassland has been gained or lost","2","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-020","ready","grasslands","Show the extent of semi-natural grasslands","2","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-021","ready","grasslands","Show me non-cultivated grasslands on the map","2","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-022","ready","grasslands","Map natural grassland change over time","2","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-023","ready","grasslands","rangelands map","2","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","colloquial synonym","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-024","ready","grasslands","show me the prairies and steppes","2","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","regional synonyms, no place named","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-025","ready","grasslands","natrual grasslands","2","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","typo","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-026","ready","grasslands","wild grass areas on the map","2","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","colloquial","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-027","ready","natural-lands","Show natural lands on the map","3","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-028","ready","natural-lands","Show the natural lands map","3","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-029","ready","natural-lands","Display natural and non-natural land on the map","3","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-030","ready","natural-lands","Show me where land is natural or non-natural on the map","3","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-031","ready","natural-lands","Map natural forests, natural short vegetation and natural water","3","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-032","ready","natural-lands","Show the baseline of natural ecosystems for conversion-free commitments","3","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-033","ready","natural-lands","Show the non-natural tree cover and crop areas on the map","3","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-034","ready","natural-lands","Map natural peat forest and wetland natural forest","3","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-035","ready","natural-lands","Show a map separating natural forest from non-natural tree cover","3","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-036","ready","natural-lands","SBTN map","3","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","jargon: product name","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-037","ready","natural-lands","nat lands layer","3","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","abbreviation","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-038","ready","natural-lands","show the no-conversion baseline","3","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","indirect, supply-chain jargon","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-039","ready","natural-lands","natural vs not natural","3","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","very short","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-040","ready","tcl","Show tree cover loss on the map","4","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-041","ready","tcl","Display annual tree cover loss on the map","4","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-042","ready","tcl","Show me where tree cover has been lost","4","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-043","ready","tcl","Put tree cover loss on the map","4","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-044","ready","tcl","Map where trees have been lost year by year","4","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-045","ready","tcl","Show tree cover loss at 50% canopy density","4","","[{""name"":""canopy_cover"",""values"":[50]}]","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","explicit canopy (jev canopy question)","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-046","ready","tcl","Show tree cover loss using a 75% canopy threshold on the map","4","","[{""name"":""canopy_cover"",""values"":[75]}]","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","explicit canopy (jev canopy question)","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-047","ready","tcl","Show me the annual forest canopy loss layer","4","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-048","ready","tcl","Map loss of trees taller than 5 metres","4","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-049","ready","tcl","Hansen loss layer","4","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","jargon: dataset author","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-050","ready","tcl","tree cover los","4","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","typo","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-051","ready","tcl","where'd the trees go, map it","4","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","colloquial","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-052","ready","tcl","TCL","4","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","acronym only","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-053","ready","tc-gain","Show tree cover gain on the map","5","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-054","ready","tc-gain","Display tree cover gain","5","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-055","ready","tc-gain","Show me where tree cover has been gained","5","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-056","ready","tc-gain","Put tree cover gain on the map","5","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-057","ready","tc-gain","Map where trees have grown back","5","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-058","ready","tc-gain","Show areas where new tree cover has grown","5","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-059","ready","tc-gain","Show me forest regrowth on the map","5","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-060","ready","tc-gain","Map where tree canopy has increased","5","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-061","ready","tc-gain","Show tree cover gain from plantations and natural regrowth","5","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-062","ready","tc-gain","treecover gain","5","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","one word, no space","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-063","ready","tc-gain","regrowth map","5","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","very short","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-064","ready","tc-gain","where are trees coming back","5","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","colloquial","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-065","ready","tc-gain","reforestation layer","5","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","gain is not restoration (catalog caution), but it is the only layer that answers","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-066","ready","ghg-flux","Show forest greenhouse gas net flux on the map","6","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-067","ready","ghg-flux","Display forest carbon net flux on the map","6","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-068","ready","ghg-flux","Show me the net GHG flux from forests","6","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-069","ready","ghg-flux","Put forest greenhouse gas flux on the map","6","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-070","ready","ghg-flux","Map where forests are a net carbon sink or source","6","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-071","ready","ghg-flux","Show the balance of forest carbon emissions and removals on the map","6","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-072","ready","ghg-flux","Show where forests absorb more carbon than they emit","6","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-073","ready","ghg-flux","Map net forest greenhouse gas emissions and removals","6","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-074","ready","ghg-flux","Show me the carbon emissions from deforestation on the map","4;6","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","emissions from loss: TCL carries MgCO2e, flux carries gross emissions; both defensible (GOLD 4;6 family)","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-075","ready","ghg-flux","carbon sink map","6","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","colloquial","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-076","ready","ghg-flux","forest flux layer","6","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","short","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-077","ready","ghg-flux","net ghg forests","6","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","very short","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-078","ready","ghg-flux","sinks vs sources","6","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","very short, indirect","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-079","ready","tree-cover","Show tree cover on the map","7","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-080","ready","tree-cover","Display tree cover density on the map","7","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-081","ready","tree-cover","Show me tree canopy cover on the map","7","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-082","ready","tree-cover","Put tree cover on the map","7","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-083","ready","tree-cover","Map tree canopy density","7","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-084","ready","tree-cover","Show tree cover with at least 50% canopy density","7","","[{""name"":""canopy_cover"",""values"":[50]}]","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","explicit canopy (jev canopy question)","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-085","ready","tree-cover","Show tree cover at a 25% canopy threshold","7","","[{""name"":""canopy_cover"",""values"":[25]}]","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","explicit canopy (jev canopy question)","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-086","ready","tree-cover","Show where trees taller than 5 metres are on the map","7","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-087","ready","tree-cover","Show the tree cover baseline map","7","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-088","ready","tree-cover","TCD layer","7","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","jargon: tree canopy density","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-089","ready","tree-cover","tree canopy","7","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","very short","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-090","ready","tree-cover","treecover","7","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","one word, no space","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-091","ready","tree-cover","how dense are the trees, map it","7","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","hard","select","colloquial","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-092","ready","tcl-drivers","Show the drivers of tree cover loss on the map","8","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-093","ready","tcl-drivers","Display tree cover loss by dominant driver","8","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-094","ready","tcl-drivers","Show me what caused tree cover loss on the map","8","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-095","ready","tcl-drivers","Put the drivers of tree cover loss on the map","8","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","easy","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
"ch-map-096","ready","tcl-drivers","Map why trees were lost","8","","","","","","pick_aoi;pull_data;generate_insights;create_dashboard;add_to_dashboard;add_map_widget;search_blogs;search_insights;show_imagery","medium","select","","catalog zeno@e2fb83f 2026-09-25 (selection_hints, context_layers, parameters)"
